# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      meandata
# Restrict with the SQL clause:    objtype = 'G' AND modbest between 26.5 AND 35.4 AND de2000>-30.0 AND -(modbest-bt)<-20

# Display the fields:              objname, al2000, de2000, l2, b2, ag, bve, t, type, v, e_v, (v/70), bt, e_bt, -(modbest-bt), it, e_it, ut, vt, modbest, e_modbest, 10*(10^(modbest/5))/1E6, logd25, hl_names(pgc)
# Order by:                        bt
# Description of each column
# objname: ------------- <NA>
#  al2000: ------------- <NA>
#  de2000: ------------- <NA>
#  l2: ----------------- <NA>
#  b2: ----------------- <NA>
#  ag: ----------------- <NA>
#  bve: ---------------- <NA>
#  t: ------------------ <NA>
#  type: --------------- <NA>
#  v: ------------------ <NA>
#  e_v: ---------------- <NA>
#  (v/70): ------------- <NA>
#  bt: ----------------- <NA>
#  e_bt: --------------- <NA>
#  -(modbest-bt): ------ <NA>
#  it: ----------------- <NA>
#  e_it: --------------- <NA>
#  ut: ----------------- <NA>
#  vt: ----------------- <NA>
#  modbest: ------------ <NA>
#  e_modbest: ---------- <NA>
#  10*(10^(modbest/5))/1E6:  <NA>
#  logd25: ------------- <NA>
#  hl_names(pgc): ------ <NA>
#-------|-------|-------|---|---|---|----|--|-----|--|----|-------|---|-----|--------------|---|-----|---|---|--------|----------|------------------------|-------|--------------
objname| al2000| de2000| l2| b2| ag| bve| t| type| v| e_v| (v/70)| bt| e_bt| -(modbest-bt)| it| e_it| ut| vt| modbest| e_modbest| 10*(10^(modbest/5))/1E6| logd25| hl_names(pgc)
NGC5267|13.6777662|38.7940386|84.6335209|74.4513865|0.052||3|SBb|5918|3.9|84.5428571428571|14.132|0.304|-20.635|12.496|0.098|15.137||34.767|0.176|89.8255030787708|1.186|2MASXJ13403994+3847384,CGCG218-036,MCG+07-28-049,NGC5267,NIBLES1903,PGC048393,SDSSJ134039.95+384738.7,SDSSJ134039.96+384738.6,SDSSJ134039.96+384738.7,UGC08655,UZC133824+39020
NGC6485|17.8646476|31.4617822|56.7892454|25.6621684|0.255||3.6|Sbc|4742.4|5.1|67.7485700334821|14.132|0.322|-20.185|||||34.317|0.216|73.0130126436407|1.091|2MASXJ17515274+3127422,CGCG171-009,IRAS17500+3128,MCG+05-42-004,NGC6485,PGC061013,UGC11014,UZC175000+31280
PGC034006|11.1879244|-9.9709286|266.3159481|45.6599698|0.241||4.9|SABc|7778.5|3.9|111.121428571429|14.133|0.196|-21.131|12.295|0.075||13.423|35.264|0.14|112.927571246804|1.203|2MASXJ11111652-0958153,6dFJ1111165-095815,HIPASSJ1111-09,MCG-02-29-009,NPM1G-09.0422,PGC034006,UGCA228,[RC2]A1108-09
NGC6286|16.9753938|58.9362285|88.0064227|37.4308632|0.074||2.9|Sb|5539.5|14|79.1357142857143|14.133|0.322|-20.514|||||34.647|0.185|84.9962708599115|1.086|2MASXJ16583138+5856102,2MFGC13585,ARP293:,CGCG299-040,IRAS16577+5900,MCG+10-24-084,NGC6286,PGC059352,SBS1657+590B,UGC10647,UZC165748+59020
IC0004|0.2241528|17.4864167|110.1974892|-44.4439553|0.242|0.7|5.1|Sc|5015.6|3.4|71.6514299665179|14.136|0.321|-20.199|||||34.335|0.214|73.6206787098167|1.068|2MASXJ00132695+1729111,AGC000123,CGCG456-040,IC0004,IRAS00108+1712,KUG0010+172,MCG+03-01-029,PGC000897,UGC00123,UZC001048+17130
NGC3678|11.4377096|27.8670241|205.7571945|71.1209579|0.076||4.1|Sbc|7207.8|2.4|102.968568638393|14.136|0.275|-21.007|13.629|0.252|14.878||35.143|0.148|106.80714621305|0.853|2MASXJ11261572+2752015,AGC006443,CGCG156-075,KUG1123+281,MCG+05-27-071,NGC3678,PGC035177,SDSSJ112615.75+275201.6,UGC06443,UZC112336+28090,[MO2001]J112615.8+275159.9,[RGD2016]J112615.75+275201.7
ESO505-015|12.1188619|-25.6928274|290.5574691|36.1120624|0.347||-3.7|E|7539.9|20.3|107.712855747768|14.138|0.241|-21.042|12.05|0.077|||35.18|0.146|108.642577630186|1.093|2MASXJ12070791-2541346,6dFJ1207079-254134,ESO505-015,ESOLV5050150,MCG-04-29-008,PGC038450
UGC11465|19.6950306|50.6325278|83.4297747|13.2795515|0.517|1.135|-3|E-S0|7185|81|102.642857142857|14.139|0.371|-21.053||||13.069|35.192|0.147|109.244672876289|1.105|2MASXJ19414211+5037571,CGCG257-006,MCG+08-36-002,NPM1G+50.0436,PGC063529,PGC063531,UGC11465,UZC194024+50320,[RC2]A1940+50
NGC5618|14.4532782|-2.2624147|344.8523776|52.6354935|0.24||5.2|SBc|7138|6.5|101.971428571429|14.14|0.173|-20.978|12.681|0.359|15.884|13.4|35.118|0.15|105.584460726878|1.162|2DFGRSN208Z112,2MASXJ14271179-0215448,2MIG1984,6dFJ1427118-021545,CGCG019-026,HIPASSJ1427-02,MCG+00-37-005,NGC5618,PGC051603,PGC1097100,SDSSJ142711.81-021544.6,SDSSJ142711.81-021544.7,UGC09250,UZC142436-02030
PGC3089540|21.4257861|25.3244444|74.9638347|-17.820934|0.519||1|Sa|4714|21|67.3428571428571|14.14|0.5|-20.123|||||34.263|0.222|71.2196930633262||2MASXJ21253283+2519280,NPM1G+25.0481,PGC3089540
NGC0621|1.6136222|35.5122222|133.2343762|-26.4500103|0.192||-2|S0|5162|20|73.7428571428571|14.14|0.321|-20.281|||||34.421|0.207|76.5949764306754|1.05|2MASXJ01364904+3530440,4ZW054,CGCG521-055,MCG+06-04-045,NGC0621,PGC005984,UGC01147,UZC013354+35160
NGC1080|2.7527597|-4.7107778|178.39755|-54.8298317|0.136||4.7|SABc|7845.4|2.6|112.077141462054|14.14|0.041|-21.112|12.5|0.1||13.58|35.252|0.141|112.305177934512|1.038|2MASXJ02450993-0442388,6dFJ0245099-044239,AGC420231,IRAS02426-0455,MCG-01-08-003,NGC1080,PGC010416
PGC027317|9.6037739|-10.9742259|245.0814209|29.2531271|0.17||5.7|SABc|5489.8|45|78.4257114955357|14.14|0.5|-20.331|12.875|0.079|||34.471|0.203|78.379075087193|1.185|2MASXJ09361360-1058271,6dFJ0936136-105827,MCG-02-25-005,PGC027317
PGC000902|0.2262263|-5.0931239|98.9928932|-66.1891277|0.131||2.9|Sb|5375.6|25.9|76.794287109375|14.14|0.355|-20.298|12.504|0.094|||34.438|0.204|77.1969149967899|1.033|2MASXJ00133440-0505352,6dFJ0013344-050535,IRAS00109-0522,MCG-01-01-052,PGC000902
IC1495|23.5132597|-13.4854444|64.8426428|-66.7453481|0.132||2.6|Sb|6383.8|4.4|91.1971400669643|14.14|0.5|-20.67|12.301|0.095||13|34.81|0.172|91.6221069561905|1.125|2MASXJ23304773-1329076,2MIG3166,6dFJ2330477-132908,IC1495,IC5327,IRAS23281-1345,MCG-02-59-024,PGC071631
UGC11446|19.4925545|41.3049196|73.9385551|10.970522|0.516||4|SBbc|4798.3|5|68.5471400669643|14.141|0.321|-20.194|||||34.335|0.214|73.6206787098167|1.04|2MASXJ19293320+4118181,CGCG230-017,IRAS19278+4112,MCG+07-40-008,PGC063282,UGC11446,UZC192754+41130
NGC7767|23.8489939|27.0871025|106.6852555|-33.868775|0.173||-0.1|S0-a|8068.8|4.7|115.268568638393|14.141|0.321|-21.238|||||35.379|0.133|119.069443400103|1.042|2MASXJ23505634+2705137,2MFGC17897,ABELL2666:[HO98]205,CGCG477-017,IC1511,MCG+04-56-016,NGC7767,PGC072601,UGC12805,UZC234818+26490
NGC0799|2.0367603|-0.1006563|158.0039441|-58.0700315|0.116|0.96|1.1|SBa|5828.1|8.6|83.2585728236607|14.141|0.435|-20.361|12.382|0.326|15.627||34.502|0.038|79.5059772832486|1.232|2MASXJ02021229-0006025,AGC001527,CGCG387-029,KPG052B,MCG+00-06-023,NGC0799,PGC007741,SDSSJ020212.33-000602.2,SDSSJ020212.34-000602.3,UGC01527,UZC015942-00200,[EKS2015]RF0295
UGC00196|0.3428448|47.4342462|117.5333114|-15.1136214|0.352||5.3|SBc|5141.7|5.7|73.4528599330357|14.141|0.321|-20.21|||||34.351|0.349|74.1652300017552|1.042|2MASXJ00203416+4726043,CGCG549-036,IRAS00179+4709,MCG+08-01-040,PGC001315,UGC00196,UZC001754+47100
ESO507-007|12.761737|-26.2437287|301.3302175|36.6102223|0.326|0.96|4.4|Sbc|5296.5|4.3|75.6642857142857|14.142|0.192|-20.262|11.906|0.05|||34.404|0.208|75.997597938782|1.396|2MASXJ12454224-2614373,2MFGC10056,6dFJ1245422-261438,AGC028778,ESO507-007,ESOLV5070070,FGCE0986,HIPASSJ1245-26,IRAS12430-2558,MCG-04-30-014,PGC043021,RFGC2373
IC1833|2.6940806|-28.1713294|221.8234057|-65.624451|0.065||-1.8|S0|4952|23.2|70.7428571428571|14.143|0.262|-20.046|12.19|0.081|||34.189|0.23|68.8334972062255|1.156|2MASXJ02413870-2810165,ESO416-007,ESOLV4160070,IC1833,MCG-05-07-013,PGC010205
NGC0778|2.0053973|31.3130282|139.7916201|-29.2934563|0.205||-1.9|S0|5420|58|77.4285714285714|14.145|0.32|-20.36|||||34.505|0.199|79.6159742036451|1.022|2MASXJ02001945+3118467,CGCG503-069,MCG+05-05-039,NGC0778,PGC007597,UGC01480,UZC015724+31030
UGC11524|20.2010818|5.7637205|47.670823|-15.030678|0.793|0.785|5.2|Sc|5245.9|9.8|74.9414271763393|14.145|0.146|-20.327||||13.395|34.472|0.202|78.415158460956|1.007|2MASXJ20120391+0545491,CGCG398-021,IRAS20096+0536,MCG+01-51-007,PGC064253,UGC11524,UZC200936+05370,[RC2]A2009+05
NGC0599|1.5482679|-12.1913275|158.0030023|-72.1787259|0.105||-2.9|E-S0|5496.5|18.5|78.5214285714286|14.145|0.295|-20.31|11.575|0.084|||34.455|0.203|77.8037207105277|1.185|2MASXJ01325375-1211287,6dFJ0132538-121129,MCG-02-05-005,NGC0599,NPM1G-12.0066,PGC005778,PGC956399
PGC037703|11.9786412|25.0430533|219.9703067|77.9865196|0.102||5.3|Sc|4643.4|2.8|66.3342843191964|14.146|0.41|-20.062|14.527|0.187|17.499||34.208|0.227|69.4384529793694|0.892|2MASXIJ1158432+250238,ARP138:,CGCG127-122:,KPG314B,LCSB_L484O,LGG260:[G93]006,MCG+04-28-110,NGC4015:,PGC037703,SDSSJ115843.10+250235.0,SDSSJ115843.11+250234.9,SDSSJ115843.11+250235.0,UGC06965:,VV216:
IC1843|2.7568361|2.8805833|169.8885355|-49.3131781|0.182||1.6|SBab|6764.4|3.7|96.6342843191964|14.146|0.32|-20.79|||||34.936|0.163|97.0957374962736|1.016|2MASXJ02452461+0252501,2MIG0326,AGC002228,CGCG389-004,IC1843,IRAS02428+0240,MCG+00-08-004,PGC010429,UGC02228,UZC024248+02400
UGC12507|23.3223728|43.9736516|105.9199088|-15.8348124|0.798||1|Sa|5169|102|73.8428571428571|14.147|0.32|-20.308|||||34.455|0.207|77.8037207105277|1.008|2MASXJ23192055+4358251,2MFGC17512,CGCG532-013,PGC071065,UGC12507,UZC231700+43420
UGC01355|1.8933964|43.9647784|134.597788|-17.4942259|0.287||3.1|SABb|6319.6|11.6|90.2800013950893|14.148|0.32|-20.719|||||34.867|0.168|94.0589477586377|1.002|2MASXJ01533610+4357488,2MASXJ01533629+4357558,CGCG537-027,CGCG538-001,HFLLZOAG134.60-17.49,IRAS01505+4343,MCG+07-05-001,PGC007017,UGC01355,UZC015030+43430
NGC7442|22.9907083|15.5484167|87.1037056|-39.4077756|0.202||5.2|Sc|7266.6|2.6|103.808572823661|14.148|0.32|-21.007|||||35.155|0.148|107.398880859336|1.005|2MASXJ22592655+1532543,AGC012286,CGCG430-042,IRAS22569+1516,MCG+02-58-045,NGC7442,PGC070183,UGC12286,UZC225654+15170
UGC12407|23.1976278|9.5065278|86.1292065|-46.1282873|0.176||3|Sb|6460.4|2.8|92.2914271763393|14.148|0.32|-20.733|12.77|0.1|||34.881|0.167|94.6673246209761|1.001|2MASXJ23115146+0930235,AGC012407,CGCG406-017,MCG+01-59-010,PGC070666,UGC12407,UZC230918+09140
UGC08975|14.0546518|38.5304502|74.6525481|71.1446584|0.06||3.8|Sbc|5751.3|3.5|82.16142578125|14.149|0.271|-20.559|12.927|0.066|15.398||34.708|0.181|87.4178330114026|1.021|2MASXJ14031677+3831499,CGCG219-048,IRAS14011+3845,MCG+07-29-043,PGC050067,SDSSJ140316.75+383149.7,SDSSJ140316.76+383149.7,SDSSJ140316.76+383149.8,UGC08975,UZC140112+38460
PGC028388|9.8575889|-5.1035833|242.5489452|35.8953938|0.198||2.2|Sab|6296|6.3|89.9428571428571|14.15|0.5|-20.632|12.824|0.075|||34.782|0.175|90.4482771909796|1.135|2MASXJ09512731-0506128,6dFJ0951273-050613,IRAS09489-0452,MCG-01-25-050,PGC028388,SS2b144.033
6dFJ1336350-263304|13.6097192|-26.5510654|315.3084578|35.2334081|0.29||||6585.5|39.2|94.0785714285714|14.15|0.5|-20.745|||||34.895|0.166|95.279636488069||6dFJ1336350-263304
PGC016568|5.0257166|-16.1661245|216.0049485|-31.4200936|0.312||3.1|SBb|6644.2|8|94.9171456473214|14.15|0.5|-20.703|12.045|0.075|||34.853|0.169|93.4544806128579|1.216|2MASXJ05013257-1609579,2MFGC04110,6dFJ0501326-160958,IRAS04592-1614,MCG-03-13-051,PGC016568
UGC04767|9.0959085|36.3545999|187.125215|41.8154419|0.086|1.16|-2.2|S0|7263.4|3.1|103.762855747768|14.151|0.087|-21.004|12.474|0.107|15.443|13.071|35.155|0.147|107.398880859336|1.092|2MASXJ09054525+3621163,CGCG180-031,LAMOSTJ090545.26+362116.5,MCG+06-20-022,NPM1G+36.0165,PGC025524,SDSSJ090545.26+362116.5,UGC04767,UZC090236+36320
ESO508-008|13.1247169|-27.3891195|307.2990801|35.3465724|0.346||-0.7|S0-a|5910.5|11.7|84.4357142857143|14.151|0.213|-20.496|11.995|0.084|||34.647|0.186|84.9962708599115|1.168|2MASXJ13072907-2723209,2MIG1813,6dFJ1307291-272321,ESO508-008,ESOLV5080080,MCG-04-31-032,PGC045460
NGC0155|0.5778053|-10.7665159|108.5705335|-73.1689884|0.118||-2.2|S0|6189.8|2.5|88.4257114955357|14.151|0.518|-20.587|11.995|0.33|15.186||34.738|0.178|88.6338863807312|1.174|2MASXJ00344011-1045593,MCG-02-02-055,NGC0155,NIBLES0084,NPM1G-11.0022,PGC002076,SDSSJ003440.07-104559.4,SDSSJ003440.08-104559.5,SDSSJ003440.08-104559.6
NGC0179|0.6295174|-17.849483|103.4620618|-80.2006435|0.085|0.95|-3.5|E|6009.9|10.7|85.855712890625|14.152|0.107|-20.511|12.175|0.079||13.212|34.663|0.185|85.6248137623958|1.048|2MASXJ00374629-1750578,6dFJ0037463-175058,ESO540-007,ESOLV5400070,MCG-03-02-026,NGC0179,PGC002253
NGC5210|13.5470128|7.170057|331.012433|67.7568317|0.158||1|Sa|6841.1|6.4|97.7300013950893|14.152|0.378|-20.877|12.337|0.078|15.569||35.029|0.156|101.344425644297|1.178|2MASXJ13324924+0710122,AGC008523,CGCG045-010,MCG+01-35-003,NGC5210,PGC047678,SDSSJ133249.24+071012.3,SDSSJ133249.25+071012.2,SDSSJ133249.25+071012.3,UGC08523,UZC133018+07260
NGC6172|16.3695332|-1.5147749|12.2670748|31.8221719|0.511|0.96|-4.2|E|5021.6|11.7|71.7371442522321|14.153|0.358|-20.466|||||34.619|0.134|83.9073289442339|0.954|2MASXJ16221032-0130531,6dFJ1622103-013053,CGCG024-009,IC1213,MCG+00-42-003,NGC6172,NPM1G-01.0494,PGC057937,UGC10352,UZC161936-01240
NGC0017|0.1851528|-12.1076914|88.7758816|-72.2498857|0.116||-1|S0-a|5890.2|56.2|84.1457170758929|14.153|0.565|-20.479|12.23|0.077||13.52|34.632|0.188|84.4111843729735|1.062|2MASXJ00110661-1206283,6dFJ0011066-120628,IRAS00085-1223,MCG-02-01-032,MRK0938,NGC0017,NGC0034,PGC000781,VV850
UGC06187|11.1416911|45.1308075|164.8682991|62.7190248|0.047||3|Sb|6179.3|2.6|88.2757114955357|14.153|0.385|-20.686|13.49|0.086|15.543||34.839|0.17|92.8538980579547|0.838|2MASXJ11083008+4507511,CGCG241-085,IRAS11056+4524,PGC033755,SDSSJ110830.08+450750.9,SDSSJ110830.09+450750.8,SDSSJ110830.10+450750.9,UGC06187,UZC110536+45240
NGC7485|23.1013528|34.1077222|99.2453727|-23.8723444|0.44||-2|S0|5716.8|16.5|81.6685686383929|14.154|0.245|-20.509|||||34.663|0.185|85.6248137623958|1.18|2MASXJ23060487+3406278,AGC012360,CGCG515-024,MCG+06-50-022,NGC7485,PGC070470,UGC12360,UZC230342+33500
PGC004249|1.1867351|-7.5463784|137.2951875|-69.8650246|0.32||5|Sc|5415.3|9.1|77.36142578125|14.155|0.372|-20.283|12.93|0.087|||34.438|0.204|77.1969149967899|1.049|2MASXJ01111224-0732468,6dFJ0111122-073247,AGC410069,MCG-01-04-009,PGC004249
UGC03725|7.1949098|49.8627198|167.3863656|23.5309078|0.291||-3|E-S0|6170.8|27.1|88.1542829241071|14.155|0.244|-20.536|||||34.691|0.044|86.7361974167948|1.162|2MASXJ07114179+4952003,CGCG234-097,MCG+08-13-101,PGC020364,PGC2355647,UGC03725,UZC070754+49560,[MO2001]J071141.6+495144.1
UGC08621|13.627754|39.1546268|87.1480856|74.5924872|0.028||1|Sa|5941.8|7.1|84.8828543526786|14.156|0.215|-20.611|12.987|0.044|15.088|14.2|34.767|0.176|89.8255030787708|0.899|2MASXJ13373997+3909167,CGCG218-030,IRAS13354+3924,MCG+07-28-041,PGC048142,SDSSJ133739.87+390916.4,SDSSJ133739.87+390916.5,UGC08621,UZC133530+39250
IC0830|12.854589|53.6963194|122.9857282|63.4319963|0.059||-1|S0-a|4848|1.7|69.2571428571429|14.156|0.3|-20.196|12.649|0.099|15.52||34.352|0.213|74.1993734477117|1.064|2MASXJ12511651+5341465,2MIG1782,CGCG270-028,IC0830,LGG300:[G93]005,MCG+09-21-055,NIBLES1742,PGC043533,SDSSJ125116.51+534146.6,SDSSJ125116.52+534146.6,SDSSJ125116.52+534146.7,SDSSJ125116.52+534146.9,UGC08003,UZC124900+53580
NGC6296|17.1456945|3.8940071|24.2901668|24.5612389|0.493||4|SABb|6733.3|4.7|96.1899972098214|14.157|0.319|-20.859|||||35.016|0.157|100.739494681502|0.95|2MASXJ17084446+0353386,CGCG054-003,HIPASSJ1708+03,IRAS17062+0357,MCG+01-44-002,NGC6296,PGC059690,UGC10719,UZC170618+03570
NGC5945|15.4958385|42.9186671|69.7019799|54.375665|0.155||1.6|Sab|5490.5|8.1|78.4357142857143|14.157|0.47|-20.459|12.305|0.066|15.418||34.616|0.188|83.7915503148468|1.219|2MASXJ15294500+4255073,CGCG222-017,IRAS15280+4305,MCG+07-32-017,NGC5945,NIBLES2318,NPM1G+43.0303,PGC055243,PGC2208935,SDSSJ152945.00+425507.1,SDSSJ152945.01+425507.1,SDSSJ152945.02+425507.1,UGC09871,UZC152800+43050
NGC3376|10.7907141|6.0481285|242.8664713|53.7724859|0.117||-1|S0-a|5816.2|2.4|83.08857421875|14.157|0.38|-20.49|12.899|0.063|16.005||34.647|0.186|84.9962708599115|1.054|2MASXJ10472659+0602529,CGCG038-013,KIG0443,MCG+01-28-007,NGC3376,NIBLES1102,NPM1G+06.0259,PGC032231,SDSSJ104726.57+060253.2,SDSSJ104726.57+060253.3,UGC05891,UZC104448+06190
NGC0472|1.3413018|32.7094486|129.9679827|-29.7651964|0.212||3|Sb|5279.6|8.7|75.4228585379464|14.157|0.319|-20.298|12.285|0.306|||34.455|0.202|77.8037207105277|0.953|2MASXJ01202867+3242322,CGCG502-034,MCG+05-04-022,NGC0472,PGC004833,UGC00870,UZC011742+32270,[MLO2002]J012028.7+324236
NGC0354|1.0545583|22.3427222|126.5288912|-40.4463226|0.193|0.93|3.7|SBbc|4667.6|2.7|66.6800013950893|14.157|0.319|-20.013|12.46|0.1|||34.17|0.23|68.2338118772196|0.952|2MASXJ01031641+2220338,AGC000645,CGCG480-037,IRAS01005+2204,MCG+04-03-037,MRK0353,NGC0354,PGC003763,UGC00645,UZC010036+22050
NGC6560|18.0872167|46.8815278|74.1794087|27.0427078|0.178|0.61|2|SABa|7043.4|3.1|100.619998604911|14.159|0.06|-20.984|||14.059|13.609|35.143|0.148|106.80714621305|1.05|2MASXJ18051398+4652535,CGCG254-015,IRAS18038+4652,MCG+08-33-019,NGC6560,PGC061381,UGC11117,UZC180354+46520
NGC0140|0.5223556|30.7924722|117.8491633|-31.8808218|0.284||5.9|SBc|6430.4|2.9|91.8628557477679|14.159|0.319|-20.736|||||34.895|0.166|95.279636488069|0.94|2MASXJ00312048+3047329,AGC000311,CGCG500-038,IRAS00287+3031,MCG+05-02-021,NGC0140,PGC001916,UGC00311,UZC002842+30310
NGC0721|1.9126278|39.3835|136.063391|-21.8681766|0.202|0.795|3.8|Sbc|5596.1|7.8|79.944287109375|14.159|0.068|-20.229|12.401|0.029|14.179|13.459|34.388|0.424|75.4397251833115|1.145|2MASXJ01544546+3923006,CGCG522-056,IRAS01517+3908,MCG+06-05-043,NGC0721,PGC007097,UGC01376,UZC015148+39080
IC0530|9.2547108|11.8856953|218.6083142|37.2536056|0.124||2|Sab|4961.6|4.2|70.8800013950893|14.159|0.284|-20.18|12.529|0.147|15.502||34.339|0.196|73.7564729316436|1.285|2MASXJ09151695+1153083,2MFGC07200,AGC004880,CGCG062-010,IC0530,IRAS09125+1205,KIG0319,MCG+02-24-003,PGC026101,SDSSJ091516.96+115308.4,SDSSJ091516.96+115308.5,UGC04880,UZC091236+12060
NGC7738|23.7339019|0.5167414|89.8172463|-57.9544735|0.116||3|Sb|6794.5|44.3|97.0642857142857|14.16|0.294|-20.816|12.32|0.238|15.71||34.976|0.161|98.9009237286629|1.074|2MASXJ23440204+0031003,2MFGC17807,AGC012757,CGCG381-033,IRAS23414+0014,MCG+00-60-038,NGC7738,NIBLES2571,PGC072247,SDSSJ234402.05+003059.8,UGC12757,UZC234130+00140,[EKS2015]RF0491
UGC01214|1.7327111|2.3498889|148.2330309|-57.918346|0.1||-1.2|S0-a|5148.8|5.7|73.5542829241071|14.161|0.384|-20.174||||14.01|34.335|0.214|73.6206787098167|1.021|2MASXJ01435776+0220596,AGC001214,CGCG386-035,IRAS01413+0205,MCG+00-05-033,MRK0573,PGC006367,UGC01214,UM363,UZC014124+02060,[ISI96]0141+0205,[RC2]A0141+02
NGC6246A|16.8372167|55.3846667|83.75026|39.076115|0.056|0.72|5|Sc|5265.6|3.2|75.2228585379464|14.161|0.729|-20.392||||12.49|34.553|0.195|81.3954785300754|1.336|2MASXJ16501398+5523048,CGCG276-050,CGCG277-007,IRAS16492+5528,MCG+09-27-101,NGC6246A,PGC059090,PGC2500306,UGC10584,UZC164912+55280
IC0564|9.7725258|3.0713372|233.2413339|39.6982494|0.213||6.7|SABc|5987.4|2.4|85.5342843191964|14.161|0.343|-20.517|12.885|0.085|15.997||34.678|0.183|86.2184638455705|1.216|2MASXJ09462109+0304168,2MASXJ09462113+0304163,2MFGC07573,AGC005230,ARP303:,CGCG035-054,IC0564,IRAS09437+0317,MCG+01-25-023,NIBLES0923,PGC028033,SDSSJ094621.07+030416.9,SDSSJ094621.08+030417.0,UGC05230,UZC094348+03180,[EKS2015]RS0134
NGC0975|2.5563167|9.60175|160.3618863|-45.7314496|0.322||-0.1|S0-a|6117.6|5.8|87.394287109375|14.162|0.319|-20.561|||||34.723|0.179|88.0237597400973|0.926|2MASXJ02332274+0936063,AGC002030,CGCG414-017,MCG+01-07-009,NGC0975,PGC009735,UGC02030,UZC023036+09230
NGC4166|12.2026548|17.756987|256.8625261|76.9659597|0.184||-1.8|S0|6987.6|14.1|99.8228585379464|14.163|0.33|-20.917|12.326|0.098|15.141||35.08|0.153|103.752929069538|1.022|2MASXJ12120956+1745248,2MIG1688,AGC007198,CGCG098-096,MCG+03-31-068,NGC4166,PGC038882,SDSSJ121209.56+174525.2,SDSSJ121209.56+174525.3,UGC07198,UZC120936+18020,[RGD2016]J121209.56+174525.3
NGC6640|18.4689662|34.30269|62.3463165|19.3654811|0.272||5.9|Sc|6812.2|4.5|97.3171456473214|14.163|0.318|-20.904|||||35.067|0.153|103.133621605158|0.917|2MASXJ18280824+3418096,CGCG200-021,IRAS18263+3416,MCG+06-40-018,NGC6640,PGC061913,UGC11247,UZC182618+34160
NGC5081|13.3189517|28.5068955|47.2195486|83.7232796|0.081|0.995|2.9|Sb|6633|11.3|94.7571428571429|14.164|0.152|-20.895|12.197|0.224|15.535|13.134|35.059|0.24|102.754209277933|1.279|2MASXJ13190823+2830244,2MIG1846,AGC008366,CGCG160-192,CGCG161-010,KIG0581,MCG+05-31-174,NGC5081,PGC046427,SDSSJ131908.23+283024.9,SDSSJ131908.24+283024.9,UGC08366,UZC131648+28460,[RGD2016]J131908.23+283024.9
UGC04020|7.7996417|59.0145278|158.2103386|30.185978|0.25|0.805|3|SABb|6495.1|8.2|92.7871442522321|14.166|0.103|-20.77|12.55|0.1||13.396|34.936|0.163|97.0957374962736|1.256|2MASXJ07475871+5900523,CGCG286-065,MCG+10-11-142,PGC021832,SBS0743+591C,UGC04020,UZC074348+59080,[RC2]A0743+59
IC1543|0.3487355|21.8661874|113.6145672|-40.4528413|0.312||4.1|Sbc|5595|2.8|79.9285714285714|14.166|0.318|-20.419|||||34.585|0.192|82.60376013065|0.903|2MASXJ00205544+2151577,AGC000198,CGCG479-002,IC1543,IRAS00183+2135,MCG+04-02-002,PGC001333,SRGB063.027,UGC00198,UZC001818+21360
NGC4066|12.0692848|20.3478941|242.5080235|77.2420356|0.136|1.03|-4.9|E|7357.6|1.8|105.108572823661|14.166|0.383|-21.026|12.306|0.091|15.501||35.192|0.145|109.244672876289|1.065|2MASXJ12040938+2020520,CGCG128-008,MCG+04-29-008,NGC4066,NRGb177.048,PGC038161,SDSSJ120409.40+202052.5,SDSSJ120409.41+202052.6,UGC07051,UZC120136+20380,[RGD2016]J120409.41+202052.6
UGC06665|11.7033972|0.3344026|268.2613999|58.4663584|0.108||3.4|Sb|5482.4|3.4|78.3199986049107|14.166|0.585|-20.355|13.216|0.291|14.664|13.566|34.521|0.197|80.2047300985074|1.1|2DFGRSN377Z216,2MASXJ11421225+0020036,AGC006665,ARK312,ARP161,CGCG012-061,GAMA609396,GAMAJ114212.21+002004.0,IRAS11396+0036,MCG+00-30-019,MRK1304,PGC036325,SDSSJ114212.22+002004.0,SDSSJ114212.39+002002.6,UGC06665,UM448,UZC113942+00370,[EKS2015]RS0547,[FN2007]0929
NGC7053|21.3521127|23.0849079|72.5073214|-18.5863889|0.556||0|S0-a|4702.6|4.4|67.1800013950893|14.166|0.284|-20.097|||||34.263|0.222|71.2196930633262|1.197|2MASXJ21210763+2305059,2ZW124,CGCG471-008,IRAS21188+2252,MCG+04-50-009,NGC7053,NPM1G+22.0620,PGC066610,UGC11727,UZC211854+22520
NGC6941|20.6065194|-4.6187515|41.1593194|-25.3982858|0.272||3.3|Sb|6218|1.5|88.8285714285714|14.167|0.268|-20.643|12.44|0.33|15.837||34.81|0.172|91.6221069561905|1.237|2MASXJ20362345-0437078,2MIG2805,HIPASSJ2036-04,HIPEQJ2036-04,IRAS20337-0447,MCG-01-52-010,NGC6941,PGC065054,SDSSJ203623.47-043707.4,SDSSJ203623.47-043707.5
