# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      meandata
# Restrict with the SQL clause:    objtype = 'G' AND modbest between 26.5 AND 35.4 AND de2000>-30.0 AND -(modbest-bt)<-20

# Display the fields:              objname, al2000, de2000, l2, b2, ag, bve, t, type, v, e_v, (v/70), bt, e_bt, -(modbest-bt), it, e_it, ut, vt, modbest, e_modbest, 10*(10^(modbest/5))/1E6, logd25, hl_names(pgc)
# Order by:                        bt
# Description of each column
# objname: ------------- <NA>
#  al2000: ------------- <NA>
#  de2000: ------------- <NA>
#  l2: ----------------- <NA>
#  b2: ----------------- <NA>
#  ag: ----------------- <NA>
#  bve: ---------------- <NA>
#  t: ------------------ <NA>
#  type: --------------- <NA>
#  v: ------------------ <NA>
#  e_v: ---------------- <NA>
#  (v/70): ------------- <NA>
#  bt: ----------------- <NA>
#  e_bt: --------------- <NA>
#  -(modbest-bt): ------ <NA>
#  it: ----------------- <NA>
#  e_it: --------------- <NA>
#  ut: ----------------- <NA>
#  vt: ----------------- <NA>
#  modbest: ------------ <NA>
#  e_modbest: ---------- <NA>
#  10*(10^(modbest/5))/1E6:  <NA>
#  logd25: ------------- <NA>
#  hl_names(pgc): ------ <NA>
#-------|-------|-------|---|---|---|----|--|-----|--|----|-------|---|-----|--------------|---|-----|---|---|--------|----------|------------------------|-------|--------------
objname| al2000| de2000| l2| b2| ag| bve| t| type| v| e_v| (v/70)| bt| e_bt| -(modbest-bt)| it| e_it| ut| vt| modbest| e_modbest| 10*(10^(modbest/5))/1E6| logd25| hl_names(pgc)
NGC4321|12.3819111|15.8222492|271.1362395|76.8987614|0.113|0.71|4|SABb|1574|1.6|22.4857142857143|10.011|0.12|-21.003|8.657|0.252|10.895|9.473|31.014|0.025|15.9514434209172|1.785|2MASXJ12225489+1549205,AGC007450,ALFALFA1-289,CGCG099-030,EVCC0467,HIPASSJ1222+15,IRAS12203+1606,IRAS12204+1605,KUG1220+160,LGG289:[G93]057,M100,MCG+03-32-015,MESSIER100,NGC4321,NIBLES1641,PGC040153,SDSSJ122254.91+154920.2,UGC07450,UZC122024+16060,VCC0596,[TH2002]006
NGC4374|12.417696|12.8871094|278.2038108|74.4783953|0.176|1|-4.4|E|999.2|27.5|14.2742858886719|10.011|0.119|-21.535|8.369|0.123|11.23|9.792|31.546|0.036|20.3797994234386|1.87|2MASXJ12250377+1253130,3C272.1,4C+13.47,ACSVCS006,CGCG070-058,EVCC0539,GIN778,IRAS12224+1309,LGG292:[G93]005,M84,MCG+02-32-034,MESSIER084,MRC1222+131,NGC4374,PGC040455,SDSSJ122503.74+125312.8,UGC07494,UZC122230+13100,VCC0763,VIRGO:[TT2002]02,[RG2008]J186.26560+12.88692,[TH2002]005
NGC4636|12.7137976|2.6887035|297.7463689|65.4737129|0.124|0.91|-4.8|E|925.3|21.9|13.2185712541853|10.042|0.222|-20.696|9.431|0.811|13.533|9.993|30.738|0.103|14.0475366534995|1.803|2MASXJ12424986+0241160,CGCG043-002,EVCC1078,LGG292:[G93]049,MCG+01-32-137,NGC4636,PGC042734,SDSSJ124249.69+024115.5,SDSSJ124249.82+024115.9,UGC07878,UZC124018+02580,VCC1939
NGC4565|12.6057732|25.9875214|230.7584808|86.4378365|0.067|0.97|3.2|Sb|1226.2|1.7|17.5171421595982|10.055|0.243|-20.353||||10.856|30.408|0.014|12.0670243531695|2.224|2MASXJ12362080+2559146,ADBSJ123606+2602,AGC007772,CGCG129-010,FGC1471,IRAS12338+2615,KUG1233+262,LGG294:[G93]003,MCG+04-30-006,NGC4565,PGC042038,PGC1758217,RFGC2335,SDSSJ123620.76+255915.5,UGC07772,UZC123348+26150
NGC2841|9.3674044|50.9766176|166.9419264|44.1513729|0.066|0.935|2.9|SBb|635.4|1.8|9.07714320591518|10.064|0.122|-21.006|8.694|0.675|12.672|10.179|31.07|0.027|16.3681629139186|1.839|2MASXJ09220265+5058353,CGCG265-006,IRAS09185+5111,KIG0324,MCG+09-16-005,NGC2841,PGC026512,SDSSJ092202.67+505835.9,UGC04966,UZC091830+51120
NGC3623|11.3155307|13.092309|241.33134|64.221667|0.108|0.975|1|Sa|801.6|1.2|11.4514282226563|10.139|0.135|-20.409|8.04|0.1|10.589|9.316|30.548|0.274|12.8706377522373|1.883|2MASXJ11185595+1305319,ADBSJ111852+1305,AGC006328,ARP317:,CGCG067-054,IRAS11163+1322,LGG231:[G93]002,MCG+02-29-018,MESSIER065,NGC3623,PGC034612,SDSSJ111855.91+130532.3,UGC06328,UZC111618+13220,VV308:
NGC4303|12.3652276|4.4737765|284.3698563|66.275705|0.097|0.635|4|Sbc|1566.8|2.1|22.3828578404018|10.159|0.06|-20.292|9.12|0.1|10.68|10.254|30.451|0.102|12.3083558207998|1.838|2MASXJ12215494+0428249,AGC007420,CGCG042-045,EVCC0429,HIPASSJ1221+04,IRAS12193+0444,IRAS12194+0444,LGG287:[G93]002,MCG+01-32-022,MESSIER061,MRC1219+047,NGC4303,PGC040001,SDSSJ122154.92+042825.6,UGC07420,UZC121918+04450,VCC0508
NGC0676|1.8159236|5.9076449|147.8817385|-54.154219|0.263|0.83|0.1|S0-a|1505.8|1.3|21.5114292689732|10.161|0.462|-21.478|||||31.639|0.752|21.2715916757337|1.44|2MASXJ01485731+0554215,AGC001270,ARK057,CGCG412-028,HIPASSJ0149+05,MCG+01-05-034,NGC0676,PGC006656,PGC1291146,UGC01270,UZC014618+05400
NGC4569|12.613872|13.1633946|288.4689963|75.6233897|0.202|0.81|2.4|Sab|-220.1|2|-3.14428580147879|10.176|0.145|-20.194|9.02|0.077|11.473|10.674|30.37|0.35|11.8576920644465|1.96|2MASXJ12364981+1309463,AGC007786,ALFALFA1-370,ARP076,CGCG070-192,EVCC2184,IRAS12343+1326,MCG+02-32-155,MESSIER090,NGC4569,PGC042089,UGC07786,UZC123418+13260,VCC1690,[RG2008]J189.20747+13.16294
NGC7331|22.6178186|34.4156195|93.7220852|-20.7242135|0.395|0.945|3.9|Sbc|815.6|1.4|11.6514282226562|10.198|0.169|-20.614|8.152|0.045|10.498|9.406|30.812|0.027|14.5344986175758|1.967|2MASXJ22370410+3424573,AGC012113,CGCG514-068,IRAS22347+3409,LGG459:[G93]003,MCG+06-49-045,NGC7331,PGC069327,UGC12113,UZC223448+34100,[BTW2003]J2237+3424
