Name,RA,DEC,l,b,extinct,eff_B-V,t,type,v,e_v,dist_Hf,bt,e_bt,Bmagt,it,e_it,ut,vt,modbest,e_modbest,dist_Mpc,logd25,hl_names(pgc),appDiam_arcsec,appDiam_kpc,est_vt,est_Vmagt,Sn,Ngc,sigma_G,mu_g,vis_GCs,pc_vis_GCs
ESO466-001,325.636008,-29.3673599,18.3360241,-48.6225492,0.222,,1.6,Sab,7044.5,9.2,100.635714285714,14.799,0.249,-20.23,,,,,35.029,0.156,101.344425644297,1.153,"2MASXJ21423265-2922028,2MFGC16391,2MIG2945,6dFJ2142327-292203,DUKST466-008,ESO466-001,ESOLV4660010,MCG-05-51-010,PGC067213,PGC730194",85.3397272273692,41.93006879741452,14.073999681576348,-20.955000318423657,1.6617728715029898,400,3.1630000000000003,27.829000000000004,12,3.225
PGC010856,42.983817,-0.8362738,175.6986333,-50.9282866,0.269,,-3.5,E-S0,6867.8,1.8,98.11142578125,14.799,0.291,-20.164,13.077,0.231,16.246,,34.963,0.161,98.3105781755443,0.957,"2MASXJ02515610-0050103,6dFJ0251561-005011,CGCG389-037,MCG+00-08-037,NIBLES0330,NPM1G-01.0102,PGC010856,SDSSJ025156.11-005010.6,SDSSJ025156.12-005010.6,SDSSJ025156.12-005010.7,SRGB155.054,UZC024924-01020,[EKS2015]RF0407",54.343956053892,25.901562262160297,14.073999681576348,-20.889000318423655,1.6147632972151769,366,3.1564000000000005,27.763,12,3.383
PGC021063,112.03364699999999,52.4716919,165.2045982,26.6190918,0.251,,1.0,Sa,6493.0,39.0,92.7571428571429,14.8,0.41,-20.122,,,,,34.922,0.164,96.4717545078357,,"2MASXJ07280806+5228177,CGCG261-069,CGCG262-003,IRAS07242+5234,PGC021063,UZC072412+52340",,,14.074960190188758,-20.84703980981124,1.5868947656905448,346,3.1521999999999997,27.721999999999998,12,3.484
IC4305,203.993133,33.4738609,69.08494,78.4933537,0.056,,-2.0,S0,7237.5,3.2,103.392857142857,14.8,0.413,-20.38,13.026,0.097,16.284,,35.18,0.145,108.642577630186,0.99,"2MASXJ13355834+3328257,CGCG190-033,IC4305,MCG+06-30-054,NRGb251.037,PGC047981,SDSSJ133558.37+332826.0,SDSSJ133558.37+332826.1,UZC133342+33440",58.63423325734864,30.883447208435427,14.074960190188758,-21.10503980981124,1.7834855949271287,493,3.178,27.98,14,2.98
NGC4447,187.05222,13.899189,279.4951907,75.703093,0.185,,-1.6,S0,7204.9,44.9,102.927141462054,14.8,0.235,-20.343,13.586,0.077,16.444,,35.143,0.149,106.80714621305,0.877,"2MASXJ12281256+1353569,AGC220635,CGCG070-107,KPG339B,MCG+02-32-073,NGC4447,NPM1G+14.0319,PGC040979,PGC1443618,SDSSJ122812.53+135357.2,UZC122542+14100,VCC1085",45.201333824023045,23.40593639622482,14.074960190188758,-21.068039809811243,1.751519672472341,468,3.1742999999999997,27.943,14,3.102
UGC12466,348.99722399999996,-1.846243,76.7598331,-55.9122761,0.193,,3.0,Sb,7869.7,4.0,112.424288504464,14.8,0.281,-20.499,12.804,0.094,,,35.299,0.138,114.762488604345,0.999,"2MASXIJ2316000-015049,2MASXJ23155933-0150465,6dFJ2315593-015047,CGCG380-020,LCSB_L816O,MCG+00-59-015,PGC070876,PGC195279,UGC12466,UZC231330-02070",59.8620038293532,33.30624455093886,14.074960190188758,-21.22403980981124,1.895195744301077,585,3.1898999999999997,28.099,16,2.774
PGC010392,41.179542000000005,5.3353611,167.3269057,-47.5334955,0.271,,,,6531.6,4.9,93.3085728236607,14.8,0.41,-20.053,,,,,34.853,0.169,93.4544806128579,,"2MASXJ02444309+0520073,AGC120483,CGCG415-006,IRAS02420+0507,PGC010392,UZC024206+05080",,,14.074960190188758,-20.778039809811244,1.5444141427607292,316,3.1452999999999998,27.653000000000002,11,3.578
NGC3452,163.558749,-11.4050592,262.6372666,42.1159011,0.135,,0.8,Sa,8173.3,27.4,116.76142578125,14.8,0.5,-20.567,12.62,0.077,,,35.367,0.134,118.413199539969,1.096,"2MASXJ10541409-1124179,2MFGC08492,6dFJ1054141-112418,MCG-02-28-019,NGC3452,PGC032742",74.84301085457659,42.96608914985598,14.074960190188758,-21.29203980981124,1.9652637157334993,646,3.1967,28.166999999999998,17,2.664
PGC787502,96.809187,-24.6588889,232.8592401,-15.9914284,0.29,,-5.0,E,7053.5,45.0,100.764285714286,14.8,0.5,-20.176,,,,,34.976,0.16,98.9009237286629,0.93,"2MASXJ06271423-2439319,6dFJ0627142-243932,PGC787502",51.0682822921426,24.486463005982703,14.074960190188758,-20.90103980981124,1.623047461492547,372,3.1575999999999995,27.776,12,3.41
ESO416-023,42.108498000000004,-29.5945293,225.3539845,-64.2115911,0.099,,1.3,Sa,6780.6,11.8,96.8657156808036,14.8,0.177,-20.095,12.815,0.075,,,34.895,0.166,95.279636488069,1.127,"2MASXJ02482602-2935395,ESO416-023,ESOLV4160230,MCG-05-07-027,PGC010623",80.38060124555611,37.13007280619113,14.074960190188758,-20.820039809811245,1.5697800057952236,334,3.1494999999999997,27.695000000000004,11,3.491
PGC027701,145.445235,11.4821843,222.7776167,42.9191668,0.086,,-5.0,E,6396.5,2.6,91.3785714285714,14.8,0.35,-20.039,13.183,0.062,16.153,,34.839,0.17,92.8538980579547,0.978,"2MASXJ09414683+1128559,CGCG063-044,MCG+02-25-019,PGC027701,SDSSJ094146.85+112855.7,SDSSJ094146.86+112855.8,UZC093906+11420",57.03628761937688,25.675910291197265,14.074960190188758,-20.76403980981124,1.536295816434972,310,3.1439000000000004,27.639,11,3.596
NGC6466,267.0337005,51.399197,78.7648445,30.5162966,0.172,,-3.0,E-S0,6794.0,23.0,97.0571428571429,14.8,0.41,-20.28,,,,,35.08,0.153,103.752929069538,,"2MASXJ17480808+5123570,CGCG278-030,NGC6466,PGC060883,SDSSJ174808.08+512357.1,UZC174700+51260",,,14.074960190188758,-21.00503980981124,1.7000456421594663,429,3.168,27.88,13,3.147
ESO479-035,41.5535415,-26.3072222,217.6957854,-64.4119216,0.088,,0.7,Sa,6766.5,43.7,96.6642857142857,14.801,0.185,-20.094,12.715,0.081,,,34.895,0.167,95.279636488069,1.0,"2MASXJ02461285-2618260,DUKST479-005,ESO479-035,ESOLV4790350,MCG-05-07-023,PGC010482",60.0,27.715696745856743,14.075920698801166,-20.819079301198837,1.5691828612445988,333,3.1494,27.695000000000004,11,3.541
