name,objid,candid,ra,dec,distnr,gals,consolid,tnsid,tnstype,tnsdiscoverydate,tnsdiscoverymag,simbadid,gaiadesignation,gaiaprllx,gaiadist,location
ZTF23aaazemg_2230439943115015008,ZTF23aaazemg,2230439943115015008,200.8259528,-11.3598824,2.240180253982544,PGC046777,2023amd,2023amd,,2023-01-24 12:59:48.002,19.0876,,,,,spiral
ZTF23aaalvut_2230099662515015003,ZTF23aaalvut,2230099662515015003,21.6847249,-3.5041885,3.086634397506714,IC1705,2023fa,2023fa,SN Ia,2023-01-11 00:52:29.280,17.333,,,,,halo
ZTF21acljgsm_1796463950415015009,ZTF21acljgsm,1796463950415015009,152.1868689,9.4585918,2.3075039386749268,UGC05473,2021oeg,2021oeg,SN Ia-91T-like,2021-06-02 05:57:07.200,17.964,,,,,spiral
ZTF20abqecog_1315206181515015007,ZTF20abqecog,1315206181515015007,235.3801132,15.7933688,3.2995615005493164,NGC5980,2020qyw,2020qyw,,2020-08-08 04:56:55.680,19.4123,,,,,spiral
ZTF20aaezgkg_1141112332815015003,ZTF20aaezgkg,1141112332815015003,41.3288597,-17.7044587,2.4962191581726074,NGC1099,2020dr,2020dr,SN Ic,2020-01-04 06:23:02.000,18.855,,,,,spiral
ZTF21acrccai_1871425920415015000,ZTF21acrccai,1871425920415015000,210.8223312,38.5315785,3.4581689834594727,UGC08975,2021adpe,2021adpe,SN Ia,2021-11-04 23:22:33.600,17.76,,,,,spiral
ZTF23aaarmtb_2297246751415015009,ZTF23aaarmtb,2297246751415015009,136.8155923,37.2147451,3.87912654876709,IC2434,2023qh,2023qh,SN II,2023-01-14 15:57:16.992,19.77,,,,,spiral
ZTF23aaovxwf_2382459341315015000,ZTF23aaovxwf,2382459341315015000,351.1406651,-19.0564695,1.2615126371383667,NGC7656,2023gcl,2023gcl,,2023-04-18 09:36:00.000,16.6,,,,,halo
ZTF20aambadt_1130474945015015019,ZTF20aambadt,1130474945015015019,218.1134339,49.9046197,1.7552461624145508,IC1029,IC 1029,,,,,IC 1029,,,,bulge
ZTF21aarebcc_1550192450715010014,ZTF21aarebcc,1550192450715010014,169.6053274,58.7862226,2.2298738956451416,NGC3610,[WSK2002] 48,,,,,[WSK2002] 48,,,,bulge
ZTF23aabrhwv_2223329866015010001,ZTF23aabrhwv,2223329866015010001,128.0471877,22.5605654,2.0859267711639404,NGC2599,,,,,,,,,,bulge
ZTF18acpdvwl_828267595115010006,ZTF18acpdvwl,828267595115010006,153.4080943,3.4326614,0.1419524997472763,NGC3166,,,,,,,,,,halo
ZTF18aarbnsl_1957177885215010002,ZTF18aarbnsl,1957177885215010002,140.511173,50.9766278,1.1518244743347168,NGC2841,NGC  2841,,,,,NGC  2841,,,,nucleus
ZTF17aabonmt_2358186276215010000,ZTF17aabonmt,2358186276215010000,146.6886042,13.7732625,0.7403706312179565,UGC05232,UGC  5232,,,,,UGC  5232,Gaia DR2 614640164002124416,,0.00018271116011348408,bulge
ZTF21aahdull_2306203496215010002,ZTF21aahdull,2306203496215010002,146.6885637,13.773252,1.7423278093338013,UGC05232,UGC  5232,,,,,UGC  5232,Gaia DR2 614640164002124416,,0.0005055853224542311,nucleus
ZTF23aaavtgk_2213437784815010009,ZTF23aaavtgk,2213437784815010009,216.8348569,1.0259094,2.7740120887756348,IC1010,,,,,,,,,,spiral
ZTF19aceudcz_2197495715215010026,ZTF19aceudcz,2197495715215010026,250.0329352,58.6173628,1.486374855041504,NGC6206,NGC  6206,,,,,NGC  6206,Gaia DR2 1431898979311034112,,0.00040513991070865833,nucleus
ZTF19acrmmpq_1058125530115015005,ZTF19acrmmpq,1058125530115015005,334.0212181,-26.6798122,4.728294849395752,ESO533-006,2019umr,2019umr,SN Ia,2019-11-08 02:01:14.000,19.1545,,,,,spiral
ZTF18admeltb_2183177446115010002,ZTF18admeltb,2183177446115010002,351.2057348,15.2749002,0.5321523547172546,NGC7653,,,,,,,,,,nuclear
ZTF22aabtcao_1922352934115015000,ZTF22aabtcao,1922352934115015000,171.5630068,27.8690521,2.623112678527832,NGC3678,2022ei,2022ei,,2022-01-08 13:49:26.400,18.38,,,,,spiral
ZTF22aaanmsr_1886329650115015004,ZTF22aaanmsr,1886329650115015004,148.3965047,-12.485912,2.4626564979553223,NGC3058,2022bmg,2022bmg,SN Ib/c,2022-02-04 09:36:57.024,20.9,,,,,spiral
ZTF23aadqald_2299362594815010005,ZTF23aadqald,2299362594815010005,217.0179231,1.0060334,2.0664477348327637,IC1011,,,,,,,,,,spiral
ZTF23aacqunt_2296255863715015012,ZTF23aacqunt,2296255863715015012,174.2254227,19.9697554,1.904939889907837,UGC06583,2023bmo,2023bmo,SN II,2023-02-10 07:13:04.800,17.748,,,,,spiral
ZTF20aacwfew_2120467683615015003,ZTF20aacwfew,2120467683615015003,141.1253767,49.3700286,1.047122836112976,NGC2857,,,,,,,Gaia DR2 1018107879960469760,1.767065558926358,0.0002857063714739221,nucleus
ZTF18acrygkg_733542752115015018,ZTF18acrygkg,733542752115015018,196.0670483,-10.3210284,4.049529552459717,NGC4939,2018lqq,2018lqq,,2018-12-23 11:45:36.000,19.7071,,,,,spiral
ZTF22abyelas_2214121532315015000,ZTF22abyelas,2214121532315015000,31.8306905,-25.4404501,1.7745966911315918,NGC0823,2022abid,2022abid,SN Ia,2022-11-23 02:50:53.952,17.4,,,,,halo
ZTF18aarlrwc_2336329946115010002,ZTF18aarlrwc,2336329946115010002,185.0865993,29.3108537,2.377066135406494,NGC4278,,,,,,,,,,nucleus
ZTF21abdelgx_2139535423815010009,ZTF21abdelgx,2139535423815010009,174.9220178,-9.3666482,1.5890100002288818,NGC3791,,,,,,,Gaia DR2 3588648521036591872,1.3065070318254517,0.00041602866956520497,nucleus
ZTF18aajartc_1733138325615015012,ZTF18aajartc,1733138325615015012,234.7478538,43.8715977,1.403128981590271,UGC09959,,,,,,,,,,nucleus
