Name,RA,DEC,l,b,extinct,eff_B-V,t,type,v,e_v,dist_Hf,bt,e_bt,Bmagt,it,e_it,ut,vt,modbest,e_modbest,dist_Mpc,logd25,hl_names(pgc),appDiam_arcsec,appDiam_kpc,est_vt,est_Vmagt,Sn,Ngc,sigma_G,mu_g,vis_GCs,pc_vis_GCs,SDSSobjID,SDSSnChild,SDSSra,SDSSdec,SDSSdistance,petroMag_g,petroR50_g,petroR90_g,deVRad_g,expRad_g,petroMag_r,petroR50_r,petroR90_r,deVRad_r,expRad_r,Re_SDSS_g_calc,Re_SDSS_r_calc,Re_SDSS_g_calc_kpc,Re_SDSS_r_calc_kpc,Re_BmagCalc_kpc,Re_BmagCalc_arcsec
NGC1716,74.5555005,-20.3635833,220.31826,-33.6614812,0.186,,4.0,Sbc,6814.5,18.1,97.35,13.94,0.2,-20.968,12.049,0.091,,,34.908,0.165,95.8517815282808,1.121,"2MASXJ04581333-2021487,6dFJ0458133-202149,ESO552-034,ESOLV5520340,IRAS04560-2026,MCG-03-13-038,NGC1716,PGC016434",79.27773805119452,36.84053245940596,13.24892278351662,-21.659077216483382,2.4259841175129395,1118,3.2368,27.708,43,3.898,,,,,,,,,,,,,,,,,,,,5.304625478923388,11.415109421699212
NGC4410A,186.6178995,9.0198693,283.7205911,70.9545178,0.108,,0.8,Sa,7469.5,70.2,106.707142857143,13.94,0.273,-21.264,,,,16.076,35.204,0.145,109.849911946474,0.794,"AGC007535,CGCG070-073:,KPG335A,MCG+02-32-047:,MRK1325:,NGC4410A,PGC040694,SDSSJ122628.29+090111.4,SDSSJ122628.30+090111.6,UGC07535:,UZC122354+09170,VCC0904",37.33801711014957,19.88499208205885,16.076,-19.128,1.5286356317307082,68,3.2664,28.004,2,3.301,1237662236393406482,0,186.617909813706,9.01989158221204,0.00147000608271748,14.08827,12.88462,31.29891,20.71142,13.96335,13.2017,12.92939,32.05751,17.56633,14.17319,13.077118750602144,13.159798531829333,6.964440614099483,7.008473129007782,5.88717298455986,11.05433508450998
PGC038496,181.909812,-14.9695972,287.4474841,46.5811325,0.244,,3.1,Sb,5376.3,6.3,76.8042829241071,13.94,0.5,-20.515,11.892,0.076,,,34.455,0.203,77.8037207105277,1.166,"2MASXJ12073835-1458105,6dFJ1207384-145811,IRAS12050-1441,LGG273:[G93]001,MCG-02-31-019,PGC038496",87.93287045735468,33.16851862574376,13.24892278351662,-21.20607721648338,1.8774513210574924,570,3.1915000000000004,27.255,28,4.967,,,,,,,,,,,,,,,,,,,,4.522730546739831,11.990185144154195
NGC5434,210.84645,9.4480213,350.1675293,65.4859837,0.12,,5.2,Sc,4636.7,2.6,66.23857421875,13.941,0.104,-20.267,12.991,0.262,15.18,13.281,34.208,0.227,69.4384529793694,1.169,"2MASXJ14032314+0926531,AGC008965,CGCG074-068,KPG410A,LGG368:[G93]006,MCG+02-36-022,NGC5434,PGC050077,SDSSJ140323.14+092653.1,UGC08965,UZC140100+09430,[KG2002]J140323.20+092651.8",88.54239199655368,29.80751326368306,13.281,-20.927,1.641351004779381,385,3.1667,27.008,21,5.673,1237662264315019605,0,210.846429170639,9.44808474479727,0.00400133589684007,13.76058,18.50681,39.96886,29.66974,18.76222,13.24184,17.25314,37.63378,29.67173,17.0655,18.60798525149589,17.355801066208404,6.26431875949287,5.842774955786012,4.144640035362821,12.311538351064742
ESO552-052,75.502938,-21.137,221.5458234,-33.085087,0.118,0.92,-3.2,E-S0,4591.3,25.7,65.5899972098214,13.941,0.103,-20.114,12.123,0.079,,13.041,34.055,0.062,64.7142706697134,1.144,"2MASXJ05020071-2108133,6dFJ0502007-210813,ESO552-052,ESOLV5520520,MCG-04-12-034,NPM1G-21.0165,PGC016595",83.58940817671817,26.225620371218064,13.041,-21.014,1.7071415915404486,434,3.1514,26.855,26,6.127,,,,,,,,,,,,,,,,,,,,3.1717798188739086,10.109472880858846
UGC08740,207.4115655,4.2383152,336.7267045,63.2247723,0.112,,1.9,Sab,7030.9,3.5,100.441427176339,13.943,0.492,-21.15,12.085,0.128,15.235,,35.093,0.152,104.375772055067,1.115,"2MASXJ13493881+0414179,AGC008740,CGCG045-112,MCG+01-35-040,NIBLES1933,PGC049067,SDSSJ134938.78+041417.8,UGC08740,UZC134706+04290,[EKS2015]RS1226",78.19000670713795,39.566297321641535,13.25180430935385,-21.841195690646156,2.7092352061735028,1476,3.255,27.893000000000004,51,3.486,1237655125019263012,0,207.411601094593,4.23828707813766,0.00271720787408625,13.24224,19.80447,41.74286,25.72057,20.30857,12.43077,18.80709,42.76471,23.17075,17.61723,19.89247870338193,18.966630387261624,10.06614220907312,9.59763745644451,5.655599336865016,11.176465325717619
NGC4541,188.7943905,-0.2211115,294.1385778,62.3726899,0.097,,3.8,SABb,6886.9,6.0,98.3842843191964,13.943,0.279,-21.073,12.308,0.305,15.356,,35.016,0.156,100.739494681502,1.211,"2MASXJ12351066-0013157,6dFJ1235107-001316,CGCG014-071,IRAS12326+0003,MCG+00-32-024,MGC35123,NGC4541,PGC041911,SDSSJ123510.66-001316.1,SDSSJ123510.91-001320.1,UGC07749,UZC123236+00030,[FN2007]1169",97.53292534502906,47.634924073725,13.25180430935385,-21.764195690646147,2.584869950241,1312,3.2473,27.816,47,3.637,1237648704042565657,0,188.794435461631,-0.221135591000015,0.00306052607409379,13.76874,11.51961,26.65356,29.66229,14.97575,12.96239,11.98442,30.57937,27.20085,14.3977,11.632993604711908,12.258076540013485,5.681535390744053,5.9868248922896905,5.5043619180763566,11.270229363583422
NGC5549,214.6617015,7.3773692,353.2509521,61.4066245,0.129,,-2.0,S0,7672.7,2.9,109.610002790179,13.945,0.384,-21.342,11.969,0.09,15.311,,35.287,0.139,114.129982258723,1.185,"2MASXJ14183879+0722384,CGCG047-001,MCG+01-36-036,NGC5549,NIBLES2088,PGC051118,SDSSJ141838.81+072238.4,SDSSJ141838.81+072238.5,UGC09156,UZC141606+07360",91.86524770092184,50.830626089251226,13.253725326578667,-22.03327467342133,3.049809125023444,1984,3.2742,28.087,61,3.116,1237655745088061490,0,214.661720086094,7.37736339971754,0.00115939914354032,13.38414,9.70273,31.41538,15.0164,9.303776,12.49642,9.48788,31.1763,13.95005,9.382068,11.659683199255294,11.716012132325318,6.451503826016714,6.482671596273105,5.384700789893414,9.731669859630383
UGC01767,34.521083999999995,38.0767222,141.1570863,-21.7092707,0.231,,9.9,I,5163.2,7.7,73.7600027901786,13.945,0.32,-20.476,,,,,34.421,0.207,76.5949764306754,1.019,"2MASXIJ0218050+380436,2MASXJ02180506+3804362,CGCG523-012,KUG0215+378,LCSB_L108O,LGG054:[G93]002,MCG+06-06-009,PGC008782,UGC01767,UZC021506+37510",62.68321315324799,23.27694584186378,13.253725326578667,-21.16727467342133,1.840197325489271,539,3.1876,27.221,27,5.045,,,,,,,,,,,,,,,,,,,,4.461063943439878,12.013338174030856
PGC002845,12.147651,-12.7166734,120.1438936,-75.5730354,0.102,,-1.9,S0,6407.8,3.7,91.5399972098214,13.946,0.075,-20.864,13.085,0.075,,,34.81,0.172,91.6221069561905,0.906,"2MASXJ00483542-1242597,6dFJ0048354-124260,IRAS00460-1259,KAZ002,MCG-02-03-019,MRK0960,PGC002845,[RC2]A0046-12",48.322706471944,21.464757379027237,13.254685835191076,-21.555314164808927,2.2811840142911706,955,3.2264,27.610000000000003,38,4.076,,,,,,,,,,,,,,,,,,,,4.382167265320262,9.865389053031507
UGC03858,112.6933755,73.6301944,141.3900911,28.7076625,0.123,,0.6,Sa,5399.8,11.3,77.1399972098214,13.948,0.471,-20.621,11.85,0.1,,,34.569,0.193,81.9973937647888,1.24,"2MASXJ07304641+7337487,CGCG330-040,CGCG331-001,MCG+12-07-045,NPM1G+73.0023,PGC021178,UGC03858,UZC072442+73440",104.26804972496252,41.45011674488803,13.256606852415896,-21.312393147584107,1.987135470594012,665,3.2021,27.369000000000003,31,4.673,,,,,,,,,,,,,,,,,,,,4.694678404361966,11.809495358516472
NGC5787,223.8149925,42.5068336,72.4760251,60.5453752,0.087,,0.0,S0-a,5487.5,2.5,78.3928571428571,13.949,0.305,-20.667,12.488,0.077,15.289,,34.616,0.188,83.7915503148468,1.059,"1ZW098,2MASXJ14551561+4230246,CGCG221-013,MCG+07-31-008,NGC5787,PGC053339,SDSSJ145515.57+423024.7,SDSSJ145515.58+423024.7,UGC09599,UZC145324+42420",68.73077648673213,27.92067639282721,13.257567361028306,-21.35843263897169,2.038158213089787,712,3.2067000000000005,27.416,32,4.562,1237661210973241425,0,223.814927224394,42.506869114627,0.0035884387729666,13.51504,7.836515,27.24895,10.20311,6.879961,12.78903,7.50937,27.09679,9.410476,6.874432,11.309748186126374,12.95352396235329,4.594387483024534,5.262142655545533,4.771316915765537,11.745285532161809
NGC3427,162.85967849999997,8.298693,240.8628711,55.9446874,0.101,,-0.1,S0-a,6373.8,10.2,91.0542829241071,13.949,0.274,-20.89,12.606,0.091,15.444,,34.839,0.17,92.8538980579547,1.115,"2MASXJ10512633+0817554,AGC005966,ALFALFA5-343,CGCG066-043,MCG+02-28-020,NGC3427,PGC032559,SDSSJ105126.31+081755.2,SDSSJ105126.32+081755.2,UGC05966,UZC104848+08340",78.19000670713795,35.19863724788686,13.257567361028306,-21.58143263897169,2.316523570137633,994,3.229,27.639,39,4.007,1237671930134790189,0,162.859667050215,8.29867866288635,0.00109640761109695,13.87042,7.881411,24.6147,14.57241,7.694679,13.07683,7.301906,24.04002,12.53554,7.437286,8.993679193632898,9.05193099641186,4.048666380682798,4.074889476976061,4.4315500869365225,9.844214381947038
UGC01590,31.5167505,29.7930556,141.6974015,-30.3447496,0.288,,-3.0,E-S0,4973.7,29.1,71.0528599330357,13.949,0.247,-20.368,,,,,34.317,0.216,73.0130126436407,1.229,"2MASXJ02060402+2947350,CGCG504-008,LGG043:[G93]003,MCG+05-06-004,PGC008013,UGC01590,UZC020312+29330",101.66026802683972,35.98537044481397,13.257567361028306,-21.059432638971693,1.7442686734951849,462,3.1768,27.117,24,5.284,1237679581085302789,0,31.5168625929631,29.7929316837144,0.00945225722843722,13.43203,7.222357,22.96775,10.38471,7.275418,12.57053,6.956353,22.73528,9.53075,7.364886,8.438608521598358,8.501043921088984,2.9870711496482443,3.009171828931787,3.5387270244755955,9.99706084264738
NGC0911,36.4266255,41.95625,141.1040143,-17.5649436,0.258,,-4.8,E,5765.8,15.0,82.3685686383929,13.949,0.247,-20.757,,,,,34.706,0.047,87.3373994661904,1.228,"2MASXJ02254239+4157225,CGCG539-021,HFLLZOAG141.10-17.57,MCG+07-06-016,NGC0911,PGC009221,UGC01878,UZC022236+41450",101.42645589859583,42.946320971835306,13.257567361028306,-21.448432638971692,2.1441943791843414,814,3.2157,27.506000000000004,35,4.329,,,,,,,,,,,,,,,,,,,,4.1846636765222955,9.882932838777839
NGC7759,357.227958,-16.5411667,65.9039756,-72.0679574,0.106,,-2.0,S0,7326.0,29.0,104.657142857143,13.95,0.5,-21.168,11.675,0.079,,,35.118,0.15,105.584460726878,1.186,"2MASXJ23485471-1632282,MCG-03-60-018,NGC7759,PGC072496",92.07701896795766,47.133068591716125,13.258527869640714,-21.859472130359286,2.7397617862942525,1518,3.2568,27.918000000000003,52,3.453,,,,,,,,,,,,,,,,,,,,4.995650450092982,9.759275493710213
NGC7253B,334.8760995,29.3878383,87.3636513,-22.7959592,0.287,,6.3,Sc,4495.3,3.4,64.2185686383929,13.95,0.572,-20.201,,,,,34.151,0.233,67.6394699000227,1.107,"AGC011985,ARP278:,CGCG494-014:,IRAS22171+2908,KPG566B,MCG+05-52-011,NGC7253:,NGC7253B,PGC068573,UGC11985,UZC221712+29080,VV242:",76.76287824945148,25.17247420935632,13.258527869640714,-20.892472130359288,1.61713894867853,367,3.1601,26.951000000000004,21,5.804,1237680328947532011,0,334.876103547666,29.3880298034544,0.0114921556258752,14.65444,16.0776,34.71363,29.67294,24.78308,14.99399,11.6277,25.41709,29.67111,16.841,16.165303185468936,11.698151515697184,5.301008596893643,3.8361174573093093,4.049457349612993,12.34872658600838
NGC5332,208.033047,16.9697714,0.1594302,72.6781447,0.11,1.015,-3.0,E-S0,6714.8,2.4,95.9257114955357,13.951,0.065,-21.052,12.409,0.068,15.456,12.951,35.003,0.158,100.138174587953,1.024,"2MASXJ13520794+1658115,CGCG102-070,MCG+03-35-030,NGC5332,PGC049243,SDSSJ135207.92+165811.0,SDSSJ135207.94+165810.9,SDSSJ135207.95+165811.0,UGC08773,UZC134942+17130",63.40905055281951,30.784023342373057,12.951,-22.052,3.085382658960839,2042,3.2452,27.803,74,3.661,1237668315919876168,0,208.03312415672,16.9697210925846,0.00535879903534192,13.64275,8.149096,25.62947,10.38329,7.412304,12.80236,8.02166,25.46315,10.51891,7.402122,9.379988135059913,9.348396361507199,4.55382585267281,4.538488580059596,4.752028325555184,9.788246356635293
NGC5696,219.237861,41.8281102,74.0637164,63.9249284,0.079,,4.0,SBbc,5461.9,5.3,78.0271414620536,13.951,0.302,-20.65,12.475,0.298,15.293,,34.601,0.189,83.2147567295189,1.083,"2MASXJ14365708+4149409,CGCG220-036,IRAS14350+4202,MCG+07-30-036,NGC5696,NIBLES2184,PGC052235,SDSSJ143657.07+414941.2,SDSSJ143657.08+414941.2,UGC09415,UZC143500+42020",72.63588801302893,29.30394274761487,13.259488378253124,-21.341511621746875,2.0191549008686707,694,3.205,27.401,31,4.588,1237661434319208510,0,219.237832781648,41.8281184672702,0.00135562445811476,13.89048,11.00455,23.43602,29.67272,12.48829,13.19367,10.64158,23.62405,26.86361,11.7291,11.057952763530409,10.71514267756223,4.461177849580366,4.322875869563071,4.742849319790842,11.756133808411771
UGC06013,163.4993565,49.6597539,159.9369228,58.1759186,0.136,,-1.7,S0,6627.5,2.2,94.6785714285714,13.951,0.31,-21.038,12.982,0.068,15.418,,34.989,0.159,99.4946394642973,0.969,"2MASXJ10535978+4939352,CGCG241-029,IRAS10510+4955,MCG+08-20-041,PGC032726,SDSSJ105359.84+493934.9,SDSSJ105359.84+493935.0,UGC06013,UZC105100+49550",55.86647252806981,26.94792884067765,13.259488378253124,-21.729511621746877,2.531068079624106,1244,3.2438,27.789,46,3.713,1237657628449439839,0,163.499336922132,49.6597149309325,0.00245868228697025,13.99436,6.901625,20.52198,12.18467,7.156578,13.34098,6.508965,20.61308,10.01434,5.990715,7.514803232186789,7.560952739319661,3.624864316445158,3.6471251390454063,4.723440875367068,9.792291699365366
NGC1670,72.427563,-2.7604583,200.6285914,-28.1790081,0.19,,-2.2,S0,4600.2,22.6,65.7171456473214,13.952,0.41,-20.102,12.059,0.081,,,34.054,0.245,64.6844918710448,1.207,"2MASXJ04494261-0245375,6dFJ0449426-024538,CGCG394-017,MCG+00-13-016,NGC1670,PGC016107,UZC044718-02500",96.63873811069624,30.305808885411285,13.260448886865534,-20.79355111313447,1.55360500608424,322,3.1502,26.854000000000003,19,6.098,,,,,,,,,,,,,,,,,,,,3.1554176960473472,10.06195167108597
NGC0504,20.8662405,33.2040527,130.6038946,-29.1900973,0.258,,-2.0,S0,4240.6,9.6,60.5800013950893,13.953,0.245,-20.04,12.275,0.306,,,33.993,0.251,62.8926661999265,1.189,"2MASXJ01232787+3312152,2MFGC01059,CGCG502-064,LAMOSTJ012327.90+331215.4,LGG024:[G93]004,MCG+05-04-041,NGC0504,PGC005084,UGC00935,UZC012042+32570,[MLO2002]J012327.9+331212",92.71526637230484,28.26999393785005,13.261409395477942,-20.73159060452206,1.5181205669745168,297,3.144,26.793000000000003,18,6.379,,,,,,,,,,,,,,,,,,,,3.0722151101904043,10.075744724973422
IC0043,10.591917,29.6416111,120.5768855,-33.1886192,0.265,0.78,5.3,SABc,4857.9,2.0,69.3985700334821,13.953,0.093,-20.328,,,,13.253,34.281,0.219,71.8124338522769,1.101,"2MASXJ00422206+2938298,AGC000448,CGCG500-072,IC0043,IRAS00396+2922,LGG014:[G93]017,MCG+05-02-040,PGC002536,UGC00448,UZC003942+29220",75.70965207544023,26.358783029823044,13.253,-21.028,1.718377498015002,442,3.1728,27.081,24,5.476,1237680332181078039,0,10.5919414926884,29.6416940494473,0.00513824498649143,14.10193,15.04246,36.91437,17.32,14.2461,13.23514,14.01977,33.85582,16.04539,14.14321,15.28775486805421,14.218862024355666,5.3225262900248085,4.950384643922591,4.234600196089963,12.16293283198342
IC1127,233.7387375,23.5028574,36.6268754,53.0281793,0.22,0.879,9.3,Sm,5427.0,6.8,77.5285714285714,13.955,0.094,-20.63,,,14.339,13.192,34.585,0.192,82.60376013065,1.044,"2MASXJ15345727+2330104,ARP220,CGCG136-017,IC1127,IC4553,IRAS15327+2340,KPG470B,MCG+04-37-005,PGC055497,UGC09913,UZC153248+23400,VV540",66.39742703865998,26.590440144444305,13.192,-21.393,2.077892219630371,749,3.2030000000000003,27.385,34,4.647,,,,,,,,,,,,,,,,,,,,4.709575407897937,11.760004265830313
UGC09761,227.804682,46.1512212,76.9101715,56.5352928,0.11,,0.5,S0-a,5630.0,50.4,80.4285714285714,13.956,0.3,-20.722,12.317,0.071,15.353,,34.678,0.184,86.2184638455705,1.068,"2MASXJ15111336+4609042,CGCG249-010,MCG+08-28-005,NIBLES2286,PGC054197,SDSSJ151113.27+460903.3,UGC09761,UZC150930+46200",70.16996346119227,29.33094057510392,13.26429092131517,-21.413709078684825,2.1022876510351125,772,3.2122,27.478,33,4.396,,,,,,,,,,,,,,,,,,,,4.864593863569465,11.637825687388483
NGC5048,199.0349145,-28.4105957,309.4966467,34.1461272,0.289,,-3.1,E-S0,4384.5,13.8,62.6357142857143,13.958,0.429,-20.035,11.667,0.076,,,33.993,0.251,62.8926661999265,1.196,"2MASXJ13160837-2824376,6dFJ1316084-282438,ESO443-087,ESOLV4430870,FLASHJ131608.20-282436.9,MCG-05-31-041,NGC5048,PGC046179",94.22176826001314,28.72934438680259,13.26621193853999,-20.726788061460013,1.5155062887973827,295,3.1435000000000004,26.793000000000003,18,6.423,,,,,,,,,,,,,,,,,,,,3.0656016045179086,10.054054839173368
ESO574-012,189.1015005,-19.3950278,298.056134,43.33439,0.231,0.99,-4.8,E,6535.0,22.8,93.3571428571429,13.958,0.141,-20.923,12.184,0.155,,13.048,34.881,0.167,94.6673246209761,1.045,"2MASXJ12362436-1923421,ESO574-012,ESOLV5740120,MCG-03-32-015,NPM1G-19.0412,PGC042047",66.55048891574405,30.54399310533253,13.048,-21.833,2.695672463190931,1458,3.2322999999999995,27.681,57,3.937,,,,,,,,,,,,,,,,,,,,4.4950304975388695,9.793954453524462
NGC4695,191.883774,54.3748739,124.1729439,62.744054,0.079,0.55,4.3,SABb,4924.7,3.9,70.3528599330357,13.96,0.158,-20.427,13.823,0.161,15.568,13.38,34.387,0.209,75.4050109794025,1.049,"2MASXJ12473208+5422297,CGCG270-023,LGG300:[G93]004,MCG+09-21-048,NGC4695,PGC043173,SDSSJ124732.10+542229.3,SDSSJ124732.10+542229.4,SDSSJ124732.11+542229.4,UGC07966,UZC124518+54390",67.1662730080291,24.55420722670342,13.38,-21.007,1.7015916641784088,430,3.1827,27.187,22,5.193,1237658916921081877,0,191.883785088794,54.3748245936868,0.00298365418611207,14.32427,12.49535,25.0361,29.67052,15.16334,13.96075,11.46201,21.53301,29.67279,13.42889,12.531448725100008,11.481176141941042,4.581165145342087,4.197213356795959,4.38477584064356,11.994239865801429
NGC2927,144.3133395,23.5905767,206.3271481,46.2556713,0.148,,3.1,Sb,7540.3,1.9,107.718568638393,13.96,0.292,-21.256,12.596,0.086,15.611,,35.216,0.143,110.458698218031,1.117,"2MASXJ09371521+2335261,AGC005122,CGCG122-032,MCG+04-23-016,NGC2927,NIBLES0888,PGC027385,SDSSJ093715.19+233526.1,SDSSJ093715.19+233526.2,UGC05122,UZC093424+23490",78.55091537996441,42.06545878702436,13.26813295576481,-21.94786704423519,2.8929448948886147,1739,3.2656,28.016,56,3.27,1237667253999763470,0,144.313311826123,23.5906087359606,0.00245156330156556,13.66596,16.0287,37.12921,29.60875,17.90997,12.95439,14.26092,34.6206,22.0624,14.81859,16.188026250245393,14.472843014688534,8.668985558972294,7.750473414861557,5.870617273373333,10.962494501810866
NGC6936,308.984625,-25.2799425,19.1920449,-33.3041648,0.202,,-2.7,E-S0,5835.1,18.9,83.3585728236607,13.96,0.224,-20.672,11.58,0.093,,,34.632,0.187,84.4111843729735,1.26,"2MASXJ20355629-2516480,6dFJ2035563-251648,ABELL3698:[PL95]BCG,ABELL3698:[PL95]G1,ESO528-022,ESOLV5280220,MCG-04-48-021,NGC6936,PGC065033",109.182051516599,44.68128999484706,13.26813295576481,-21.363867044235185,2.044323511233415,717,3.2072000000000003,27.432,32,4.488,,,,,,,,,,,,,,,,,,,,4.034132469675542,9.857702389069248
NGC3979,179.0044845,-2.7208155,276.654956,57.2961473,0.111,,-1.6,S0,5964.8,16.6,85.21142578125,13.963,0.388,-20.73,12.666,0.072,15.726,,34.693,0.182,86.8160772838287,1.091,"2MASXJ11560108-0243151,2MIG1655,6dFJ1156011-024315,CGCG013-005,IC2976,MCG+00-31-003,NGC3979,PGC037488,SDSSJ115601.05-024315.1,UGC06907,UZC115330-02260,[ISI96]1153-0226",73.98628999373454,31.1405205441535,13.271014481602036,-21.42198551839796,2.112161948015,782,3.213,27.493,33,4.333,1237650761316368449,0,179.004404522456,-2.72084868457155,0.00519033287230238,14.03234,5.698239,20.17829,6.616584,5.386312,13.20239,5.584449,20.21283,6.160956,5.499662,8.880942389806085,9.820512939608804,3.7379515713603158,4.133412892792853,4.136248914480622,9.827251000481047
NGC3238,156.6791445,57.2263583,153.1307833,50.5578024,0.045,,-2.4,S0,7318.3,2.8,104.547140066964,13.964,0.296,-21.24,12.487,0.101,15.363,,35.204,0.144,109.849911946474,1.044,"2MASXJ10264304+5713353,CGCG290-041,MCG+10-15-080,NGC3238,PGC030686,SDSSJ102642.98+571334.8,SDSSJ102642.99+571334.8,SDSSJ102642.99+571334.9,UGC05649,UZC102330+57290",66.39742703865998,35.361071988312275,13.271974990214447,-21.932025009785555,2.8648113063892424,1697,3.264,28.004,54,3.238,1237655108908351497,0,156.679116946433,57.2263564463949,0.000901804489023201,13.60915,12.26982,38.87658,15.13013,10.93468,12.8064,12.36433,39.30327,15.13214,11.05655,14.26274752453641,14.437907793950142,7.5958672566121965,7.689151818567056,5.153106177755285,9.675979041955085
NGC0790,30.3400245,-5.3709792,163.4682129,-62.603364,0.125,,-2.0,S0,5333.0,14.9,76.1857142857143,13.965,0.257,-20.439,11.635,0.084,,,34.404,0.208,75.997597938782,1.141,"2MASXJ02012157-0522157,6dFJ0201216-052216,MCG-01-06-026,NGC0790,PGC007677",83.01398273830685,30.586203589764786,13.272935498826858,-21.131064501173142,1.806748569998604,512,3.1839000000000004,27.204000000000004,25,5.073,1237679253059076147,0,30.3400460285266,-5.37090089447816,0.00487116177781272,13.67611,7.411093,24.81096,8.205756,7.211186,12.82398,7.360433,24.47834,7.934337,7.353035,9.535021675832558,9.323760957252206,3.513144467832614,3.435306215337388,3.6486896913808278,9.902904823372213
NGC2958,145.173486,11.8883572,222.1196602,42.8607485,0.119,,3.9,Sbc,6652.5,6.9,95.0357142857143,13.965,0.325,-20.971,12.81,0.067,15.794,,34.936,0.163,97.0957374962736,0.991,"2MASXJ09404160+1153183,AGC005160,ALFALFA5-029,CGCG063-033,IRAS09379+1206,MCG+02-25-015,NGC2958,PGC027620,SDSSJ094041.63+115318.1,SDSSJ094041.64+115318.1,SDSSJ094041.64+115318.2,UGC05160,UZC093800+12070",58.76939912452193,27.664694205067818,13.272935498826858,-21.663064501173142,2.4317848415704475,1124,3.2371,27.736,42,3.79,1237664106313416804,0,145.173488820692,11.8883789641671,0.00131630977939009,13.97782,9.994959,21.80943,22.78939,11.68089,13.16493,10.09979,22.31601,19.12156,11.42602,10.054611329846699,10.166860797195511,4.733037123650903,4.785876649580153,5.310230377371468,11.280769856972995
UGC10070,237.8029275,47.2549621,75.1172381,49.6787874,0.059,0.885,2.0,Sab,5800.7,28.2,82.8671456473214,13.965,0.1,-20.773,,,14.245,13.195,34.738,0.178,88.6338863807312,1.051,"2MASXJ15511284+4715176,CGCG250-014,IRAS15496+4724,MCG+08-29-014,PGC056207,SDSSJ155112.35+471518.6,SDSSJ155112.86+471517.5,UGC10070,UZC154942+47230",67.47629843801558,28.995159475176997,13.195,-21.543,2.26477840169116,938,3.2173,27.538,40,4.292,1237659326561714260,0,237.80361086034,47.2548958188872,0.0281120552279532,13.62608,8.751298,21.87474,15.34846,11.46634,12.84196,8.362139,21.21745,12.31887,11.12099,8.918540359461977,8.544031972690183,3.8323753079898117,3.671445757160722,4.952715677691233,11.525748683418552
NGC0431,18.519219,33.7038524,128.3109127,-28.9312905,0.221,,-1.9,S0,5715.5,9.9,81.65,13.965,0.241,-20.667,11.94,0.095,,,34.632,0.187,84.4111843729735,1.064,"2MASXJ01140455+3342149,CGCG501-132,CGCG502-008,MCG+05-04-002,NGC0431,PGC004437,UGC00776,UZC011118+33270",69.52664136930758,28.452845337106293,13.272935498826858,-21.35906450117314,2.0388735021207367,712,3.2067000000000005,27.432,31,4.451,1237678806919413782,0,18.5188684255587,33.7042585304804,0.0300000342812182,13.81041,9.504521,28.16333,12.62046,8.875127,12.9001,10.08852,29.66538,12.98829,8.887693,10.322269196110623,10.897534783273953,4.224250203671775,4.4596699284989185,4.025448260720477,9.836481879329664
NGC0304,14.0251245,24.1268611,124.2956925,-38.7325098,0.235,,-1.7,S0,4990.4,6.7,71.2914271763393,13.965,0.241,-20.37,,,,,34.335,0.215,73.6206787098167,1.067,"2MASXJ00560603+2407367,CGCG480-023,MCG+04-03-018,NGC0304,PGC003326,UGC00573,UZC005324+23510",70.00857702365775,24.987656441908047,13.272935498826858,-21.062064501173143,1.746478467999168,464,3.1770000000000005,27.135,24,5.312,1237680069636128968,0,14.025073798192,24.1269131392719,0.00417818970146832,13.75805,6.548737,20.44775,10.14962,7.501164,12.88525,6.321799,20.53368,9.62653,7.518658,7.470823422135545,7.638807845584607,2.6665071187977327,2.7264645874278792,3.5417787272130505,9.923095004979732
NGC3609,169.460868,26.6258242,208.9436453,69.1530535,0.07,,2.0,SABa,8099.5,1.8,115.707142857143,13.966,0.293,-21.424,12.513,0.095,15.598,,35.39,0.132,119.674019493071,1.067,"2MASXJ11175059+2637332,CGCG156-050,MCG+05-27-043,NGC3609,NIBLES1206,PGC034511,SDSSJ111750.61+263732.8,UGC06310,UZC111512+26540",70.00857702365775,40.61865954675481,13.273896007439266,-22.11610399256073,3.2104249253526405,2254,3.2824,28.19,66,2.944,1237667430105677867,0,169.460885028399,26.6257882579594,0.00234196624781478,13.65113,16.4193,36.79204,29.66887,16.17646,12.8641,15.09573,33.36444,22.52892,14.2711,16.542203665254043,15.196225228166588,9.597711700453122,8.816781102837155,6.228269198805764,10.734777286945326
IC1508,356.479293,12.0618766,98.7371328,-47.7082009,0.279,0.615,7.1,Scd,4263.0,2.1,60.9,13.966,0.098,-20.027,12.36,0.1,13.986,13.396,33.993,0.252,62.8926661999265,0.88,"2MASXJ23455505+1203422,2MFGC17832,2MIG3195,AGC012773,CGCG432-028,IC1508,IRAS23433+1147,KIG1036,KUG2343+117,MCG+02-60-016,PGC072345,PGC1403045,UGC12773,UZC234324+11470",45.51465450175103,13.877962682876928,13.396,-20.597,1.4521064558539365,251,3.1427000000000005,26.793000000000003,15,6.344,1237678919129432074,0,356.479486025809,12.0618119453448,0.0119717948948887,13.70362,14.04355,31.65747,29.67086,20.8955,13.08761,13.85925,32.7619,29.67123,19.80329,14.154181502633929,14.023148938571032,4.315779277038421,4.27582588061669,3.8088682466624917,12.491698259387148
