Name,RA,DEC,l,b,extinct,eff_B-V,t,type,v,e_v,dist_Hf,bt,e_bt,Bmagt,it,e_it,ut,vt,modbest,e_modbest,dist_Mpc,logd25,hl_names(pgc),appDiam_arcsec,appDiam_kpc,est_vt,est_Vmagt,Sn,Ngc,sigma_G,mu_g,vis_GCs,pc_vis_GCs,SDSSobjID,SDSSnChild,SDSSra,SDSSdec,SDSSdistance,petroMag_g,petroR50_g,petroR90_g,deVRad_g,expRad_g,petroMag_r,petroR50_r,petroR90_r,deVRad_r,expRad_r,Re_SDSS_g_calc,Re_SDSS_r_calc,Re_SDSS_g_calc_kpc,Re_SDSS_r_calc_kpc,Re_BmagCalc_kpc,Re_BmagCalc_arcsec
IC1571,10.1577615,-0.3306135,116.9566198,-63.0769236,0.096,,3.2,Sb,5838.8,2.6,83.41142578125,14.58,0.304,-20.052,13.326,0.092,15.385,,34.632,0.188,84.4111843729735,1.023,"2MASXJ00403787-0019501,CGCG383-066,IC1571,MCG+00-02-121,PGC002440,SDSSJ004037.85-001950.3,SDSSJ004037.85-001950.4,UGC00432,UZC003806-00350,[EKS2015]RF0043",63.26321378347552,25.88962161638567,13.863648295458676,-20.768351704541324,1.538778349115205,312,3.1452,27.432,13,4.227,1237663783664943262,0,10.1577213988044,-0.330669796590118,0.00414710624724091,14.15147,12.43785,23.81966,29.6639,13.22728,13.63235,12.12675,23.50848,29.59047,12.8121,12.462331648105808,12.153219026717183,5.100042054955528,4.973541861146359,3.8425357391177446,9.389521544053675
NGC0369,16.286915999999998,-17.7591841,142.2943905,-80.1116432,0.1,,3.1,Sb,6231.4,6.9,89.0199986049107,14.58,0.211,-20.158,12.765,0.075,,,34.738,0.178,88.6338863807312,0.978,"2MASXJ01050889-1745331,ESO541-017,ESOLV5410170,HIPASSJ0105-17,MCG-03-03-022,NGC0369,PGC003856",57.03628761937688,24.508994916416047,13.863648295458676,-20.87435170454133,1.6048575389594362,359,3.1558,27.538,14,3.944,,,,,,,,,,,,,,,,,,,,3.988623546328384,9.28215459547174
PGC043017,191.412345,-7.7650384,300.4266102,55.0785544,0.136,,4.2,SABb,7493.8,6.0,107.054282924107,14.58,0.5,-20.612,12.625,0.075,,,35.192,0.144,109.244672876289,1.183,"2MASXJ12453895-0745541,2MFGC10055,6dFJ1245390-074554,IRAS12430-0729,MCG-01-33-002,PGC043017",91.44316522783748,48.431283407691815,13.863648295458676,-21.328351704541326,2.00457732236589,681,3.2012,27.992,20,3.063,1237671265493319819,0,191.412349938716,-7.76499745785963,0.00247401218205921,14.41733,10.80115,28.05819,27.30969,14.78461,13.52688,10.85361,29.32869,23.82127,14.32713,11.08926585319628,11.262278873862014,5.873236955230551,5.964870295089308,4.6798285219983145,8.835989935940322
ESO426-011,96.6577095,-29.93381,237.914272,-18.1107085,0.231,,3.7,Sbc,6932.1,39.2,99.0300013950893,14.58,0.187,-20.356,12.694,0.087,,,34.936,0.163,97.0957374962736,1.034,"2MASXJ06263786-2956016,6dFJ0626378-295602,ESO426-011,ESOLV4260110,IRAS06246-2954,MCG-05-16-004,PGC019053,VV576",64.88603707787628,30.54399739794416,13.863648295458676,-21.07235170454133,1.755178353637234,471,3.1756,27.736,16,3.515,,,,,,,,,,,,,,,,,,,,4.276544687395752,9.08486317413819
ESO530-034,319.495779,-22.8355759,25.6408889,-41.7914578,0.227,0.92,3.6,Sbc,7891.3,24.4,112.732854352679,14.581,0.238,-20.718,12.87,0.079,,,35.299,0.138,114.762488604345,1.209,"2MASXJ21175898-2250083,AGC034347,ESO530-034,ESOLV5300340,IRAS21150-2302,MCG-04-50-017,PGC066521",97.08480225858396,54.01640371781848,13.864608804071084,-21.43439119592892,2.127096445913025,797,3.2118,28.099,22,2.878,,,,,,,,,,,,,,,,,,,,4.85774902380151,8.730933030294034
PGC002688,11.466327,-9.3281965,118.4425579,-72.1513769,0.165,,3.8,Sbc,6107.6,3.1,87.2514299665179,14.581,0.753,-20.127,13.709,0.23,16.312,,34.708,0.181,87.4178330114026,0.923,"2MASXJ00455191-0919409,MCG-02-03-008,NIBLES0115,PGC002688,SDSSJ004551.92-091941.5,SDSSJ004551.93-091941.6",50.25175692761296,21.2973587163487,13.864608804071084,-20.84339119592892,1.5845447569222415,344,3.1527000000000003,27.508,13,3.972,1237652630714122400,0,11.4663799091631,-9.32821416839266,0.00330708517253315,14.90876,9.729795,18.48556,15.34722,9.478801,14.27709,9.626354,19.78316,23.82395,9.865316,9.747693879081044,9.660853122540194,4.131201492098893,4.0943972317839,3.945334331632491,9.309134736936652
IC3407,187.266069,27.7788808,204.1803079,84.994507,0.1,,2.9,SBb,7002.6,5.3,100.037144252232,14.581,0.251,-20.512,13.383,0.121,15.626,,35.093,0.151,104.375772055067,0.988,"2MASXJ12290381+2746441,AGC007615,CGCG159-005,IC3407,IRAS12265+2803,KUG1226+280,MCG+05-30-005,PGC041112,SDSSJ122903.85+274643.8,SDSSJ122903.86+274643.9,UGC07615,UZC122630+28040,[RGD2016]J122903.86+274643.9",58.36483342661791,29.53421351062287,13.864608804071084,-21.22839119592892,1.8995420520484456,588,3.1912000000000003,27.893000000000004,19,3.25,1237667443508838489,0,187.266064712633,27.7788511475652,0.00179364449286184,14.31829,11.91307,26.20479,24.03361,14.01672,13.76477,11.0395,23.34292,21.27754,13.49847,11.989215538177875,11.089909329464259,6.066873333488092,5.611799618372106,4.517956846990281,8.92828240401227
PGC032682,163.304589,16.2350134,228.5080481,60.5513865,0.116,,-5.0,E,6642.9,2.4,94.8985700334821,14.582,0.319,-20.367,13.267,0.076,16.149,,34.949,0.162,97.6787880481209,0.878,"2MASXJ10531307+1614060,ARK265,CGCG095-057,MCG+03-28-026,PGC032682,SDSSJ105313.11+161406.1,SDSSJ105313.12+161406.2,UZC105036+16300",45.305533659926034,21.45487416563606,13.865569312683496,-21.0834306873165,1.7646593078096655,478,3.1767000000000003,27.749,16,3.504,1237668585430515755,0,163.304650551352,16.2350482205884,0.00411554199679686,14.50908,3.814521,12.35709,5.205368,3.762951,13.71191,3.68962,12.22412,4.868505,3.78663,4.587996315390495,4.634813898714872,2.1726900814805603,2.1948610014062244,3.5372021592879856,7.469390416946027
PGC037153,177.9992415,21.1083698,233.6823142,75.1760604,0.206,,4.9,Sc,6646.3,7.5,94.9471400669643,14.582,0.06,-20.116,13.177,0.255,15.697,13.972,34.698,0.768,87.0162518129571,0.933,"2MASXJ11515979+2106299,AGC210859,CGCG127-082,MCG+04-28-077,PGC037153,SDSSJ115159.83+210630.3,SDSSJ115159.83+210630.4,UZC114924+21240,[RGD2016]J115159.83+210630.4",51.42227071382218,21.69332294489128,13.972,-20.726,1.5150791612636567,295,3.1516,27.498,11,3.978,1237667917028130910,0,177.999307824105,21.108431350586,0.00523647144754693,14.42969,10.84431,21.27487,18.70478,11.19306,13.87672,10.46862,20.70724,16.88913,10.79743,10.870504623815266,10.495734054420067,4.585899535451112,4.42779646300267,3.9300868413845054,9.3159535770474
ESO422-040,77.5578345,-29.4036037,231.6697937,-33.7270295,0.083,,2.7,SBb,6978.1,4.3,99.6871442522321,14.582,0.198,-20.367,12.657,0.116,,,34.949,0.162,97.6787880481209,1.13,"2MASXIJ0510143-292359,2MASXJ05101388-2924131,2MFGC04221,6dFJ0510139-292413,AGC024091,ESO422-040,ESOLV4220400,IRAS05083-2927,LCSB_L270O,MCG-05-13-010,PGC016854",80.9377729554992,38.32886611692307,13.865569312683496,-21.0834306873165,1.7646593078096655,478,3.1767000000000003,27.749,16,3.526,,,,,,,,,,,,,,,,,,,,4.2931363241833935,9.065671079696846
